"Well","ExptType","Experiment","Sample","TargetType","Target","Status","Concentration","Supermix","CopiesPer20uLWell","TotalConfMax","TotalConfMin","PoissonConfMax","PoissonConfMin","Positives","Negatives","Ch1+Ch2+","Ch1+Ch2-","Ch1-Ch2+","Ch1-Ch2-","Linkage","AcceptedDroplets","CNV","TotalCNVMax","TotalCNVMin","PoissonCNVMax","PoissonCNVMin","ReferenceCopies","UnknownCopies","Ratio","TotalRatioMax","TotalRatioMin","PoissonRatioMax","PoissonRatioMin","FractionalAbundance","TotalFractionalAbundanceMax","TotalFractionalAbundanceMin","PoissonFractionalAbundanceMax","PoissonFractionalAbundanceMin","ReferenceAssayNumber","TargetAssayNumber","Threshold","MeanAmplitudeofPositives","MeanAmplitudeofNegatives","MeanAmplitudeTotal","ExperimentComments","MergedWells","TotalConfMax68","TotalConfMin68","PoissonConfMax68","PoissonConfMin68","TotalCNVMax68","TotalCNVMin68","PoissonCNVMax68","PoissonCNVMin68","TotalRatioMax68","TotalRatioMin68","PoissonRatioMax68","PoissonRatioMin68","TotalFractionalAbundanceMax68","TotalFractionalAbundanceMin68","PoissonFractionalAbundanceMax68","PoissonFractionalAbundanceMin68"
"A01","Rare Event Detection","RED","26AA241218I","Ch1Unknown","N1","Manual",1.41,"One-Step RT-ddPCR Kit for Probes",28.2,,,2.09,1.13,22,18332,0,22,26,18306,0,18354,,,,,,,,0.85,,,1.33,0.36,46,,,60,32,1,1,5507,7660.4,1775,1782,"Rare Event Detection Experiment",,,,1.7,0,,,,,,,1.09,0.6,,,53,"39,"
"A02","Rare Event Detection","RED","26AA241218I","Ch1Unknown","N1","Manual",1.37,"One-Step RT-ddPCR Kit for Probes",27.4,,,2.01,1.11,23,19712,0,23,23,19689,0,19735,,,,,,,,1,,,1.6,0.4,50,,,65,35,1,1,5507,7696.6,1798.8,1805.7,"Rare Event Detection Experiment",,,,1.7,0,,,,,,,1.29,0.71,,,57,"43,"
"A03","Rare Event Detection","RED","26AA241218I","Ch1Unknown","N1","Manual",1.14,"One-Step RT-ddPCR Kit for Probes",22.8,,,1.74,0.9,19,19529,0,19,16,19513,0,19548,,,,,,,,1.2,,,2,0.4,54,,,71,38,1,1,5507,7620.8,1789.3,1795,"Rare Event Detection Experiment",,,,1.4,0,,,,,,,1.59,0.78,,,63,"46,"
"A04","Rare Event Detection","RED","26TM241221I","Ch1Unknown","N1","Manual",2.5,"One-Step RT-ddPCR Kit for Probes",50,,,3.4,2.1,38,17748,0,38,4,17744,0,17786,,,,,,,,10,,,20,0,90,,,100,81,1,1,5507,7780.8,1887.5,1900.1,"Rare Event Detection Experiment",,,,2.9,0,,,,,,,15,4,,,95.1,"85.9,"
"A05","Rare Event Detection","RED","26TM241221I","Ch1Unknown","N1","Manual",2.6,"One-Step RT-ddPCR Kit for Probes",52,,,3.6,2.3,40,17747,1,39,3,17744,0.0657,17787,,,,,,,,10,,,21,0,91,,,100,82,1,1,5507,7749.2,1896.5,1909.7,"Rare Event Detection Experiment",,,,3.1,0,,,,,,,15,5,,,95.3,"86.5,"
"A06","Rare Event Detection","RED","26TM241221I","Ch1Unknown","N1","Manual",3.5,"One-Step RT-ddPCR Kit for Probes",70,,,4.6,3.1,56,18576,0,56,4,18572,0,18632,,,,,,,,14,,,29,0,93,,,100,87,1,1,5507,7760.4,1921.6,1939.2,"Rare Event Detection Experiment",,,,4,0,,,,,,,21,7,,,96.6,"90.1,"
"A08","Rare Event Detection","RED","NEG","Ch1Negative Control","N1","Manual",0,"One-Step RT-ddPCR Kit for Probes",0,,,0.19,0,0,18501,0,0,0,18501,0,18501,,,,,,,,,,,,,,,,,,1,1,5507,0,1713.3,1713.3,"Rare Event Detection Experiment",,,,0.087,0,,,,,,,,,,,,","
"B01","Rare Event Detection","RED","26AA241219I","Ch1Unknown","N1","Manual",0.48,"One-Step RT-ddPCR Kit for Probes",9.6,,,0.93,0.32,7,17314,0,7,2,17312,0,17321,,,,,,,,3.5,,,9.5,0,78,,,107,48,1,1,5507,7715.2,1786.2,1788.6,"Rare Event Detection Experiment",,,,0.68,0,,,,,,,6.4,0.6,,,92,"63,"
"B02","Rare Event Detection","RED","26AA241219I","Ch1Unknown","N1","Manual",0.73,"One-Step RT-ddPCR Kit for Probes",14.6,,,1.25,0.53,11,17731,0,11,2,17729,0,17742,,,,,,,,6,,,15,0,85,,,106,63,1,1,5507,7720.6,1810,1813.6,"Rare Event Detection Experiment",,,,0.97,0,,,,,,,9.9,1.1,,,95,"74,"
"B03","Rare Event Detection","RED","26AA241219I","Ch1Unknown","N1","Manual",0.79,"One-Step RT-ddPCR Kit for Probes",15.8,,,1.3,0.59,13,19365,0,13,4,19361,0,19378,,,,,,,,3.3,,,7,0,76,,,97,55,1,1,5507,7692,1821.4,1825.3,"Rare Event Detection Experiment",,,,1,0,,,,,,,5.1,1.4,,,87,"66,"
"B04","Rare Event Detection","RED","26TM241222I","Ch1Unknown","N1","Manual",1.8,"One-Step RT-ddPCR Kit for Probes",36,,,2.6,1.5,27,17670,0,27,1,17669,0,17697,,,,,,,,27,,,92,0,96,,,105,88,1,1,5507,7586.6,1839.6,1848.4,"Rare Event Detection Experiment",,,,2.2,0,,,,,,,57,0,,,100.3,"92.6,"
