"","Well","ExptType","Experiment","Sample","TargetType","Target","Status","Concentration","Supermix","CopiesPer20uLWell","TotalConfMax","TotalConfMin","PoissonConfMax","PoissonConfMin","Positives","Negatives","Ch1+Ch2+","Ch1+Ch2-","Ch1-Ch2+","Ch1-Ch2-","Linkage","AcceptedDroplets","CNV","TotalCNVMax","TotalCNVMin","PoissonCNVMax","PoissonCNVMin","ReferenceCopies","UnknownCopies","Ratio","TotalRatioMax","TotalRatioMin","PoissonRatioMax","PoissonRatioMin","FractionalAbundance","TotalFractionalAbundanceMax","TotalFractionalAbundanceMin","PoissonFractionalAbundanceMax","PoissonFractionalAbundanceMin","ReferenceAssayNumber","TargetAssayNumber","Threshold","MeanAmplitudeofPositives","MeanAmplitudeofNegatives","MeanAmplitudeTotal","ExperimentComments","MergedWells","TotalConfMax68","TotalConfMin68","PoissonConfMax68","PoissonConfMin68","TotalCNVMax68","TotalCNVMin68","PoissonCNVMax68","PoissonCNVMin68","TotalRatioMax68","TotalRatioMin68","PoissonRatioMax68","PoissonRatioMin68","TotalFractionalAbundanceMax68","TotalFractionalAbundanceMin68","PoissonFractionalAbundanceMax68","PoissonFractionalAbundanceMin68"
"30","E01","Rare Event Detection","RED","26FL241219I","Ch1Unknown","N1","Manual",1.24,"One-Step RT-ddPCR Kit for Probes",24.8,NA,NA,1.91,0.97,18,17098,0,18,0,17098,0,17116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5507,7504.8,1669.6,1675.8,"Rare Event Detection Experiment",NA,NA,NA,1.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,","
"31","E02","Rare Event Detection","RED","26FL241219I","Ch1Unknown","N1","Manual",1.04,"One-Step RT-ddPCR Kit for Probes",20.8,NA,NA,1.63,0.8,16,18153,0,16,0,18153,0,18169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5507,7562.5,1680,1685.2,"Rare Event Detection Experiment",NA,NA,NA,1.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,","
"32","E03","Rare Event Detection","RED","26FL241219I","Ch1Unknown","N1","Manual",1.42,"One-Step RT-ddPCR Kit for Probes",28.4,NA,NA,2.1,1.14,22,18273,0,22,0,18273,0,18295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5507,7519.1,1691.9,1698.9,"Rare Event Detection Experiment",NA,NA,NA,1.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,","
"33","E04","Rare Event Detection","RED","26YC241222I","Ch1Unknown","N1","Manual",0.91,"One-Step RT-ddPCR Kit for Probes",18.2,NA,NA,1.48,0.69,14,18084,0,14,6,18078,0,18098,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,4.6,0,70,NA,NA,91,49,1,1,5507,7553.3,1876,1880.4,"Rare Event Detection Experiment",NA,NA,NA,1.2,0,NA,NA,NA,NA,NA,NA,3.5,1.2,NA,NA,80,"60,"
"34","E05","Rare Event Detection","RED","26YC241222I","Ch1Unknown","N1","Manual",1.36,"One-Step RT-ddPCR Kit for Probes",27.2,NA,NA,2.02,1.09,22,18966,0,22,6,18960,0,18988,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA,7.1,0.3,79,NA,NA,94,63,1,1,5507,7495.3,1853.8,1860.4,"Rare Event Detection Experiment",NA,NA,NA,1.7,0,NA,NA,NA,NA,NA,NA,5.4,2,NA,NA,86,"71,"
"35","E06","Rare Event Detection","RED","26YC241222I","Ch1Unknown","N1","Manual",1.31,"One-Step RT-ddPCR Kit for Probes",26.2,NA,NA,1.99,1.03,19,17090,0,19,3,17087,0,17109,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,15,0,86,NA,NA,102,71,1,1,5507,7300,1860.8,1866.8,"Rare Event Detection Experiment",NA,NA,NA,1.6,0,NA,NA,NA,NA,NA,NA,10.4,2.3,NA,NA,94,"79,"
"36","E07","Rare Event Detection","RED","EXT","Ch1Negative Control","N1","Manual",0,"One-Step RT-ddPCR Kit for Probes",0,NA,NA,0.18,0,0,19324,0,0,0,19324,0,19324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5507,0,1721.9,1721.9,"Rare Event Detection Experiment",NA,NA,NA,0.083,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,","
"37","E08","Rare Event Detection","RED","NTC","Ch1NTC","N1","Manual",0,"One-Step RT-ddPCR Kit for Probes",0,NA,NA,0.2,0,0,17249,0,0,0,17249,0,17249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5507,0,1765,1765,"Rare Event Detection Experiment",NA,NA,NA,0.093,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,","
"38","F01","Rare Event Detection","RED","26FL241222I","Ch1Unknown","N1","Manual",1.06,"One-Step RT-ddPCR Kit for Probes",21.2,NA,NA,1.66,0.81,16,17830,0,16,5,17825,0,17846,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,6.5,0,76,NA,NA,95,57,1,1,5507,7689.1,1710.6,1716,"Rare Event Detection Experiment",NA,NA,NA,1.3,0,NA,NA,NA,NA,NA,NA,4.9,1.5,NA,NA,86,"67,"
"39","F02","Rare Event Detection","RED","26FL241222I","Ch1Unknown","N1","Manual",1.19,"One-Step RT-ddPCR Kit for Probes",23.8,NA,NA,1.85,0.92,17,16863,0,17,7,16856,0,16880,NA,NA,NA,NA,NA,NA,NA,2.4,NA,NA,4.6,0.2,71,NA,NA,89,52,1,1,5507,7645.4,1722.5,1728.4,"Rare Event Detection Experiment",NA,NA,NA,1.5,0,NA,NA,NA,NA,NA,NA,3.5,1.3,NA,NA,80,"61,"
"40","F03","Rare Event Detection","RED","26FL241222I","Ch1Unknown","N1","Manual",0.88,"One-Step RT-ddPCR Kit for Probes",17.6,NA,NA,1.43,0.67,14,18683,0,14,12,18671,0,18697,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,2.1,0.3,54,NA,NA,73,34,1,1,5507,7283.4,1715.3,1719.4,"Rare Event Detection Experiment",NA,NA,NA,1.1,0,NA,NA,NA,NA,NA,NA,1.63,0.71,NA,NA,64,"44,"
"41","F04","Rare Event Detection","RED","26JS241218I","Ch1Unknown","N1","Manual",3.2,"One-Step RT-ddPCR Kit for Probes",64,NA,NA,4.2,2.8,50,18137,1,49,274,17863,0.0161,18187,NA,NA,NA,NA,NA,NA,NA,0.18,NA,NA,0.24,0.13,15.3,NA,NA,19.2,11.4,1,1,5507,7555.1,1754.9,1770.8,"Rare Event Detection Experiment",NA,NA,NA,3.7,0,NA,NA,NA,NA,NA,NA,0.208,0.153,NA,NA,17.3,"13.3,"
"42","F05","Rare Event Detection","RED","26JS241218I","Ch1Unknown","N1","Manual",1.8,"One-Step RT-ddPCR Kit for Probes",36,NA,NA,2.6,1.5,28,18168,0,28,244,17924,0,18196,NA,NA,NA,NA,NA,NA,NA,0.114,NA,NA,0.159,0.069,10.2,NA,NA,13.9,6.6,1,1,5507,7541.4,1750.3,1759.2,"Rare Event Detection Experiment",NA,NA,NA,2.2,0,NA,NA,NA,NA,NA,NA,0.137,0.091,NA,NA,12.1,"8.4,"
"43","F06","Rare Event Detection","RED","26JS241218I","Ch1Unknown","N1","Manual",2.7,"One-Step RT-ddPCR Kit for Probes",54,NA,NA,3.6,2.3,39,16988,1,38,234,16754,0.0324,17027,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA,0.22,0.11,14.2,NA,NA,18.3,10,1,1,5507,7532.7,1743.3,1756.6,"Rare Event Detection Experiment",NA,NA,NA,3.2,0,NA,NA,NA,NA,NA,NA,0.193,0.137,NA,NA,16.3,"12.1,"
"44","F07","Rare Event Detection","RED","EXT","Ch1Negative Control","N1","Manual",0,"One-Step RT-ddPCR Kit for Probes",0,NA,NA,0.2,0,0,17761,0,0,0,17761,0,17761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5507,0,1731.7,1731.7,"Rare Event Detection Experiment",NA,NA,NA,0.091,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,","
"45","F08","Rare Event Detection","RED","NTC","Ch1NTC","N1","Manual",0,"One-Step RT-ddPCR Kit for Probes",0,NA,NA,0.2,0,0,17262,0,0,1,17261,0,17262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5507,0,1750.3,1750.3,"Rare Event Detection Experiment",NA,NA,NA,0.093,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,","
"46","G01","Rare Event Detection","RED","26JS241219I","Ch1Unknown","N1","Manual",3,"One-Step RT-ddPCR Kit for Probes",60,NA,NA,3.9,2.6,50,19855,0,50,31,19824,0,19905,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,2.3,0.9,62,NA,NA,72,51,1,1,5507,7011.5,1544,1557.7,"Rare Event Detection Experiment",NA,NA,NA,3.4,0,NA,NA,NA,NA,NA,NA,1.98,1.25,NA,NA,67,"56,"
"47","G02","Rare Event Detection","RED","26JS241219I","Ch1Unknown","N1","Manual",2.5,"One-Step RT-ddPCR Kit for Probes",50,NA,NA,3.3,2.1,40,18906,0,40,24,18882,0,18946,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,2.5,0.8,63,NA,NA,74,51,1,1,5507,7045,1561.9,1573.5,"Rare Event Detection Experiment",NA,NA,NA,2.9,0,NA,NA,NA,NA,NA,NA,2.1,1.24,NA,NA,69,"56,"
"48","G03","Rare Event Detection","RED","26JS241219I","Ch1Unknown","N1","Manual",2.7,"One-Step RT-ddPCR Kit for Probes",54,NA,NA,3.6,2.3,44,19317,0,44,15,19302,0,19361,NA,NA,NA,NA,NA,NA,NA,2.9,NA,NA,4.7,1.2,75,NA,NA,86,63,1,1,5507,7045.2,1544.6,1557.1,"Rare Event Detection Experiment",NA,NA,NA,3.1,0,NA,NA,NA,NA,NA,NA,3.8,2.1,NA,NA,80,"69,"
"49","G04","Rare Event Detection","RED","26YC241216I","Ch1Unknown","N1","Manual",0.96,"One-Step RT-ddPCR Kit for Probes",19.2,NA,NA,1.53,0.73,15,18390,0,15,10,18380,0,18405,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,2.7,0.3,60,NA,NA,80,40,1,1,5507,7654.4,1858.3,1863,"Rare Event Detection Experiment",NA,NA,NA,1.2,0,NA,NA,NA,NA,NA,NA,2.1,0.9,NA,NA,70,"50,"
"50","G05","Rare Event Detection","RED","26YC241216I","Ch1Unknown","N1","Manual",1.9,"One-Step RT-ddPCR Kit for Probes",38,NA,NA,2.6,1.5,30,18913,0,30,12,18901,0,18943,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,4.2,0.8,71,NA,NA,85,58,1,1,5507,7592.5,1837.1,1846.2,"Rare Event Detection Experiment",NA,NA,NA,2.2,0,NA,NA,NA,NA,NA,NA,3.4,1.6,NA,NA,78,"64,"
"51","G06","Rare Event Detection","RED","26YC241216I","Ch1Unknown","N1","Manual",1.9,"One-Step RT-ddPCR Kit for Probes",38,NA,NA,2.7,1.6,30,18572,0,30,14,18558,0,18602,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,3.5,0.8,68,NA,NA,82,54,1,1,5507,7604.1,1863.6,1872.9,"Rare Event Detection Experiment",NA,NA,NA,2.3,0,NA,NA,NA,NA,NA,NA,2.8,1.4,NA,NA,75,"61,"
"52","H01","Rare Event Detection","RED","26TM241220I","Ch1Unknown","N1","Manual",2.8,"One-Step RT-ddPCR Kit for Probes",56,NA,NA,3.7,2.4,44,18637,0,44,0,18637,0,18681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5507,7810.5,1954.6,1968.3,"Rare Event Detection Experiment",NA,NA,NA,3.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,","
"53","H02","Rare Event Detection","RED","26TM241220I","Ch1Unknown","N1","Manual",3.4,"One-Step RT-ddPCR Kit for Probes",68,NA,NA,4.4,3,57,19543,0,57,5,19538,0,19600,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,22,1,92,NA,NA,99,85,1,1,5507,7835.9,1936.5,1953.7,"Rare Event Detection Experiment",NA,NA,NA,3.9,0,NA,NA,NA,NA,NA,NA,17,6,NA,NA,95.5,"88.4,"
